District,Year,Season,Crop,Area,Production,Weather
GADCHIROLI,2014,Zaid,Sugarcane,100,854,Sunny
CHANDRAPUR,2014,Rabi,Sugarcane,100,524,Overcast 
BULDHANA,2013,Rabi,Sugarcane,100,197,Sunny
WASHIM,2011,Rabi,Sugarcane,100,178,Overcast 
OSMANABAD,2003,Kharif,Banana,100,102,Overcast 
WASHIM,2008,Kharif,Sugarcane,100,504,Overcast 
WASHIM,2008,Kharif,Sugarcane,100,934,Overcast 
LATUR,2003,Rabi,Banana,100,992,Overcast 
AKOLA,2011,Zaid,Sugarcane,100,243,Rainy
YAVATMAL,2003,Zaid,Banana,100,820,Rainy
WARDHA,2003,Kharif,Banana,100,883,Sunny
SANGLI,2003,Rabi,Banana,100,609,Rainy
BULDHANA,2012,Kharif,Sugarcane,100,898,Sunny
SINDHUDURG,2003,Kharif,Banana,100,465,Overcast 
BHANDARA,2003,Kharif,Banana,100,671,Rainy
RATNAGIRI,2003,Kharif,Banana,100,619,Overcast 
RAIGAD,2003,Zaid,Banana,100,906,Sunny
AKOLA,2013,Rabi,Maize,100,300,Rainy
BHANDARA,2005,Rabi,Castor seed,100,300,Rainy
GONDIA,2013,Kharif,Maize,100,300,Overcast 
KOLHAPUR,1998,Rabi,Maize,100,300,Rainy
KOLHAPUR,2014,Kharif,Maize,100,300,Overcast 
PUNE,2003,Rabi,Cotton(lint),100,300,Rainy
PUNE,2005,Rabi,Castor seed,100,300,Sunny
PUNE,2005,Rabi,Cotton(lint),100,300,Sunny
PUNE,2008,Zaid,Cotton(lint),100,300,Sunny
RATNAGIRI,2006,Rabi,Rice,100,300,Sunny
RATNAGIRI,2009,Zaid,Maize,100,300,Overcast 
RATNAGIRI,2010,Zaid,Maize,100,300,Sunny
RATNAGIRI,2011,Rabi,Maize,100,300,Rainy
RATNAGIRI,2011,Rabi,Rice,100,300,Sunny
SATARA,2012,Zaid,Cotton(lint),100,300,Overcast 
THANE,2009,Kharif,Maize,100,300,Overcast 
THANE,2010,Rabi,Maize,100,300,Rainy
THANE,2011,Rabi,Maize,100,300,Overcast 
WASHIM,2001,Rabi,Maize,100,300,Sunny
WASHIM,2008,Kharif,Maize,100,300,Rainy
AHMEDNAGAR,2003,Rabi,Jowar,100,200,Rainy
AKOLA,2014,Kharif,Maize,100,200,Overcast 
AMRAVATI,2001,Rabi,Sunflower,100,200,Rainy
AURANGABAD,2004,Kharif,Maize,100,200,Sunny
BHANDARA,2002,Rabi,Maize,100,200,Overcast 
BHANDARA,2003,Kharif,Maize,100,200,Rainy
BHANDARA,2006,Kharif,Maize,100,200,Sunny
BULDHANA,2004,Rabi,Maize,100,200,Rainy
CHANDRAPUR,1998,Rabi,Maize,100,200,Sunny
CHANDRAPUR,1999,Zaid,Maize,100,200,Rainy
CHANDRAPUR,2000,Rabi,Groundnut,100,200,Overcast 
CHANDRAPUR,2002,Rabi,Groundnut,100,200,Rainy
CHANDRAPUR,2009,Zaid,Maize,100,200,Sunny
GONDIA,2002,Zaid,Maize,100,200,Overcast 
GONDIA,2006,Rabi,Maize,100,200,Sunny
GONDIA,2008,Kharif,Maize,100,200,Sunny
GONDIA,2009,Rabi,Maize,100,200,Sunny
GONDIA,2010,Rabi,Maize,100,200,Overcast 
GONDIA,2010,Kharif,Maize,100,200,Overcast 
HINGOLI,2001,Kharif,Maize,100,200,Overcast 
JALNA,2000,Kharif,Sunflower,100,200,Sunny
KOLHAPUR,1997,Zaid,Maize,100,200,Sunny
KOLHAPUR,1999,Rabi,Maize,100,200,Rainy
KOLHAPUR,2002,Rabi,Maize,100,200,Rainy
KOLHAPUR,2006,Zaid,Cotton(lint),100,200,Rainy
KOLHAPUR,2008,Rabi,Cotton(lint),100,200,Rainy
KOLHAPUR,2010,Rabi,Cotton(lint),100,200,Rainy
KOLHAPUR,2013,Rabi,Maize,100,200,Sunny
LATUR,2005,Kharif,Castor seed,100,200,Sunny
NAGPUR,2010,Kharif,Maize,100,200,Rainy
NAGPUR,2012,Zaid,Rice,100,200,Overcast 
NAGPUR,2013,Rabi,Rice,100,200,Sunny
NASHIK,2012,Rabi,Groundnut,100,200,Rainy
NASHIK,2014,Rabi,Groundnut,100,200,Sunny
PUNE,2004,Kharif,Cotton(lint),100,200,Sunny
PUNE,2006,Zaid,Cotton(lint),100,200,Sunny
RAIGAD,2006,Rabi,Maize,100,200,Rainy
RATNAGIRI,2003,Kharif,Maize,100,200,Overcast 
RATNAGIRI,2006,Kharif,Maize,100,200,Sunny
RATNAGIRI,2011,Rabi,Groundnut,100,200,Overcast 
RATNAGIRI,2012,Rabi,Rice,100,200,Overcast 
SANGLI,2001,Rabi,Sunflower,100,200,Rainy
SANGLI,2010,Kharif,Ragi,100,200,Overcast 
SATARA,2001,Zaid,Sunflower,100,200,Sunny
SATARA,2014,Zaid,Safflower,100,200,Rainy
SINDHUDURG,2001,Rabi,Maize,100,200,Sunny
SINDHUDURG,2003,Rabi,Maize,100,200,Rainy
SINDHUDURG,2006,Zaid,Maize,100,200,Overcast 
SINDHUDURG,2014,Kharif,Maize,100,200,Rainy
SOLAPUR,2008,Kharif,Cotton(lint),100,200,Rainy
THANE,1998,Zaid,Groundnut,100,200,Overcast 
THANE,2001,Rabi,Maize,100,200,Sunny
THANE,2003,Kharif,Maize,100,200,Sunny
THANE,2006,Rabi,Maize,100,200,Overcast 
THANE,2010,Zaid,Wheat,100,200,Overcast 
THANE,2012,Kharif,Groundnut,100,200,Rainy
WARDHA,1998,Rabi,Maize,100,200,Rainy
WARDHA,2001,Rabi,Maize,100,200,Overcast 
WARDHA,2006,Zaid,Maize,100,200,Sunny
WARDHA,2008,Rabi,Maize,100,200,Rainy
WASHIM,2001,Kharif,Sunflower,100,200,Rainy
WASHIM,2002,Rabi,Maize,100,200,Sunny
WASHIM,2002,Rabi,Groundnut,100,200,Rainy
WASHIM,2003,Zaid,Maize,100,200,Rainy
WASHIM,2006,Zaid,Maize,100,200,Rainy
WASHIM,2009,Zaid,Rice,100,200,Rainy
WASHIM,2012,Kharif,Maize,100,200,Overcast 
YAVATMAL,1998,Zaid,Maize,100,200,Overcast 
YAVATMAL,2003,Kharif,Maize,100,200,Overcast 
NASHIK,2013,Zaid,Groundnut,100,140,Sunny
AHMEDNAGAR,2001,Kharif,Sunflower,100,581,Sunny
AHMEDNAGAR,2002,Kharif,Jowar,100,574,Sunny
AHMEDNAGAR,2003,Zaid,Sesamum,100,-14,Sunny
AHMEDNAGAR,2003,Kharif,Sunflower,100,-20,Sunny
AHMEDNAGAR,2004,Rabi,Jowar,100,182,Overcast 
AHMEDNAGAR,2004,Kharif,Sunflower,100,303,Overcast 
AHMEDNAGAR,2005,Zaid,Sesamum,100,433,Sunny
AHMEDNAGAR,2005,Kharif,Sunflower,100,462,Rainy
AHMEDNAGAR,2006,Rabi,Jowar,100,510,Rainy
AHMEDNAGAR,2006,Rabi,Sesamum,100,139,Overcast 
AHMEDNAGAR,2006,Rabi,Sunflower,100,559,Rainy
AHMEDNAGAR,2008,Zaid,Jowar,100,498,Sunny
AHMEDNAGAR,2008,Rabi,Sesamum,100,360,Overcast 
AHMEDNAGAR,2008,Zaid,Sesamum,100,305,Rainy
AHMEDNAGAR,2011,Zaid,Sunflower,100,705,Overcast 
AKOLA,1998,Rabi,Maize,100,113,Rainy
AKOLA,1998,Zaid,Other  Rabi pulses,100,365,Sunny
AKOLA,1999,Rabi,Maize,100,337,Sunny
AKOLA,2001,Kharif,Jowar,100,253,Overcast 
AKOLA,2002,Kharif,Jowar,100,41,Overcast 
AKOLA,2003,Zaid,Groundnut,100,290,Sunny
AKOLA,2003,Zaid,Jowar,100,103,Overcast 
AKOLA,2003,Rabi,Maize,100,613,Sunny
AKOLA,2004,Zaid,Jowar,100,59,Rainy
AKOLA,2004,Kharif,Maize,100,414,Rainy
AKOLA,2005,Rabi,Castor seed,100,627,Rainy
AKOLA,2005,Zaid,Groundnut,100,153,Overcast 
AKOLA,2006,Kharif,Jowar,100,506,Rainy
AKOLA,2008,Rabi,Rapeseed &Mustard,100,287,Rainy
AKOLA,2009,Kharif,Jowar,100,166,Rainy
AKOLA,2010,Zaid,Castor seed,100,52,Sunny
AKOLA,2010,Kharif,Jowar,100,328,Sunny
AKOLA,2011,Zaid,Other Kharif pulses,100,427,Overcast 
AKOLA,2011,Kharif,Jowar,100,427,Sunny
AMRAVATI,1997,Zaid,Maize,100,553,Rainy
AMRAVATI,1998,Rabi,Maize,100,315,Overcast 
AMRAVATI,1998,Rabi,Maize,100,799,Overcast 
AMRAVATI,1998,Zaid,Sunflower,100,704,Sunny
AMRAVATI,1999,Kharif,Maize,100,243,Rainy
AMRAVATI,1999,Kharif,Sunflower,100,488,Rainy
AMRAVATI,2000,Zaid,Jowar,100,744,Overcast 
AMRAVATI,2000,Zaid,Maize,100,399,Rainy
AMRAVATI,2000,Zaid,Sesamum,100,2,Rainy
AMRAVATI,2000,Kharif,Groundnut,100,387,Sunny
AMRAVATI,2000,Kharif,Sunflower,100,-42,Sunny
AMRAVATI,2001,Rabi,Jowar,100,568,Sunny
AMRAVATI,2001,Rabi,Groundnut,100,-11,Sunny
AMRAVATI,2002,Kharif,Jowar,100,80,Sunny
AMRAVATI,2002,Rabi,Groundnut,100,717,Overcast 
AMRAVATI,2003,Kharif,Jowar,100,668,Overcast 
AMRAVATI,2004,Rabi,Rapeseed &Mustard,100,175,Overcast 
AMRAVATI,2004,Rabi,Sunflower,100,191,Sunny
AMRAVATI,2005,Kharif,Sunflower,100,118,Rainy
AMRAVATI,2006,Zaid,Maize,100,138,Overcast 
AMRAVATI,2008,Kharif,Sesamum,100,34,Sunny
AMRAVATI,2011,Zaid,Safflower,100,126,Rainy
AMRAVATI,2011,Zaid,Sunflower,100,454,Overcast 
AMRAVATI,2012,Kharif,Safflower,100,544,Overcast 
AMRAVATI,2013,Kharif,Sunflower,100,562,Rainy
AMRAVATI,2013,Zaid,Safflower,100,513,Rainy
AMRAVATI,2014,Rabi,Other  Rabi pulses,100,274,Sunny
AMRAVATI,2014,Rabi,Safflower,100,679,Sunny
AURANGABAD,2003,Kharif,Groundnut,100,224,Sunny
AURANGABAD,2003,Kharif,Sunflower,100,389,Rainy
AURANGABAD,2004,Rabi,Groundnut,100,694,Rainy
AURANGABAD,2004,Zaid,Sunflower,100,-31,Overcast 
AURANGABAD,2005,Rabi,Rice,100,421,Rainy
AURANGABAD,2005,Rabi,Sunflower,100,72,Sunny
AURANGABAD,2006,Kharif,Rice,100,-48,Overcast 
AURANGABAD,2006,Kharif,Sunflower,100,669,Overcast 
AURANGABAD,2008,Kharif,Niger seed,100,194,Sunny
AURANGABAD,2011,Zaid,Sunflower,100,240,Overcast 
BEED,1998,Kharif,Other Cereals & Millets,100,159,Overcast 
BHANDARA,1999,Rabi,Groundnut,100,445,Sunny
BHANDARA,1999,Rabi,Safflower,100,584,Sunny
BHANDARA,2000,Zaid,Groundnut,100,747,Rainy
BHANDARA,2000,Zaid,Other Kharif pulses,100,5,Sunny
BHANDARA,2000,Zaid,Sesamum,100,438,Rainy
BHANDARA,2001,Kharif,Castor seed,100,19,Rainy
BHANDARA,2001,Rabi,Small millets,100,707,Rainy
BHANDARA,2001,Kharif,Urad,100,722,Overcast 
BHANDARA,2001,Kharif,Sesamum,100,218,Sunny
BHANDARA,2002,Zaid,Jowar,100,715,Sunny
BHANDARA,2002,Zaid,Small millets,100,356,Sunny
BHANDARA,2002,Rabi,Groundnut,100,122,Rainy
BHANDARA,2003,Zaid,Groundnut,100,61,Rainy
BHANDARA,2003,Kharif,Jowar,100,189,Sunny
BHANDARA,2003,Zaid,Groundnut,100,393,Overcast 
BHANDARA,2004,Kharif,Groundnut,100,643,Rainy
BHANDARA,2004,Kharif,Maize,100,537,Overcast 
BHANDARA,2004,Zaid,Groundnut,100,545,Sunny
BHANDARA,2006,Rabi,Groundnut,100,48,Rainy
BHANDARA,2006,Zaid,Jowar,100,92,Rainy
BHANDARA,2006,Kharif,Sesamum,100,354,Overcast 
BHANDARA,2006,Rabi,Sunflower,100,336,Overcast 
BHANDARA,2008,Kharif,Urad,100,512,Sunny
BHANDARA,2008,Zaid,Rapeseed &Mustard,100,302,Overcast 
BHANDARA,2009,Rabi,Urad,100,-3,Overcast 
BHANDARA,2010,Zaid,Urad,100,255,Overcast 
BHANDARA,2012,Kharif,Moong(Green Gram),100,496,Overcast 
BHANDARA,2012,Kharif,Urad,100,495,Sunny
BHANDARA,2012,Zaid,Groundnut,100,339,Overcast 
BHANDARA,2013,Zaid,Moong(Green Gram),100,185,Sunny
BHANDARA,2013,Rabi,Groundnut,100,201,Sunny
BULDHANA,1997,Kharif,Maize,100,554,Overcast 
BULDHANA,1998,Zaid,Rapeseed &Mustard,100,268,Sunny
BULDHANA,1998,Zaid,Maize,100,540,Overcast 
BULDHANA,1999,Rabi,Rapeseed &Mustard,100,86,Rainy
BULDHANA,1999,Rabi,Maize,100,-17,Rainy
BULDHANA,2001,Kharif,Sunflower,100,-28,Overcast 
BULDHANA,2001,Rabi,Maize,100,275,Sunny
BULDHANA,2001,Kharif,Sunflower,100,800,Rainy
BULDHANA,2002,Rabi,Rice,100,593,Overcast 
BULDHANA,2002,Rabi,Sunflower,100,253,Overcast 
BULDHANA,2002,Zaid,Maize,100,642,Sunny
BULDHANA,2002,Kharif,Sunflower,100,693,Sunny
BULDHANA,2003,Rabi,Sunflower,100,594,Rainy
BULDHANA,2003,Zaid,Sunflower,100,191,Sunny
BULDHANA,2004,Rabi,Sunflower,100,44,Rainy
BULDHANA,2005,Rabi,Groundnut,100,659,Overcast 
BULDHANA,2005,Rabi,Sunflower,100,713,Sunny
BULDHANA,2011,Rabi,Maize,100,275,Rainy
CHANDRAPUR,1999,Rabi,Groundnut,100,411,Rainy
CHANDRAPUR,1999,Kharif,Maize,100,508,Overcast 
CHANDRAPUR,1999,Kharif,Safflower,100,381,Overcast 
CHANDRAPUR,2000,Kharif,Maize,100,311,Sunny
CHANDRAPUR,2000,Rabi,Maize,100,313,Rainy
CHANDRAPUR,2001,Rabi,Groundnut,100,194,Sunny
CHANDRAPUR,2004,Rabi,Other Cereals & Millets,100,718,Overcast 
CHANDRAPUR,2004,Zaid,Groundnut,100,370,Overcast 
CHANDRAPUR,2005,Kharif,Groundnut,100,-42,Overcast 
CHANDRAPUR,2005,Kharif,Sunflower,100,619,Overcast 
CHANDRAPUR,2006,Rabi,Sesamum,100,657,Sunny
CHANDRAPUR,2006,Kharif,Groundnut,100,470,Rainy
CHANDRAPUR,2010,Kharif,Castor seed,100,752,Overcast 
CHANDRAPUR,2012,Kharif,Maize,100,733,Sunny
CHANDRAPUR,2014,Kharif,Maize,100,789,Overcast 
DHULE,1997,Zaid,Maize,100,535,Rainy
DHULE,1998,Kharif,Maize,100,195,Rainy
DHULE,1999,Rabi,Maize,100,134,Rainy
DHULE,1999,Kharif,Sunflower,100,258,Rainy
DHULE,2000,Kharif,Niger seed,100,541,Rainy
DHULE,2000,Rabi,Sunflower,100,96,Overcast 
DHULE,2001,Kharif,Sunflower,100,2,Rainy
DHULE,2001,Rabi,Maize,100,80,Sunny
DHULE,2002,Kharif,Niger seed,100,449,Overcast 
DHULE,2002,Rabi,Sunflower,100,572,Overcast 
DHULE,2004,Kharif,Rapeseed &Mustard,100,157,Overcast 
DHULE,2004,Zaid,Maize,100,-7,Overcast 
DHULE,2005,Rabi,Niger seed,100,496,Sunny
DHULE,2005,Kharif,Rapeseed &Mustard,100,797,Overcast 
DHULE,2006,Kharif,Niger seed,100,-17,Rainy
DHULE,2006,Rabi,Sunflower,100,99,Sunny
DHULE,2008,Kharif,Niger seed,100,142,Sunny
DHULE,2008,Kharif,Sunflower,100,272,Rainy
DHULE,2013,Rabi,Sunflower,100,45,Sunny
GADCHIROLI,1997,Zaid,Jowar,100,209,Overcast 
GADCHIROLI,1997,Rabi,Moong(Green Gram),100,751,Sunny
GADCHIROLI,1998,Zaid,Jowar,100,80,Rainy
GADCHIROLI,1998,Rabi,Moong(Green Gram),100,271,Sunny
GADCHIROLI,1998,Rabi,Urad,100,150,Sunny
GADCHIROLI,1998,Rabi,Safflower,100,178,Sunny
GADCHIROLI,1998,Zaid,Groundnut,100,261,Rainy
GADCHIROLI,1999,Zaid,Moong(Green Gram),100,351,Rainy
GADCHIROLI,1999,Kharif,Urad,100,406,Overcast 
GADCHIROLI,1999,Rabi,Rapeseed &Mustard,100,642,Sunny
GADCHIROLI,2000,Kharif,Moong(Green Gram),100,102,Sunny
GADCHIROLI,2000,Kharif,Urad,100,-20,Overcast 
GADCHIROLI,2000,Kharif,Sunflower,100,496,Rainy
GADCHIROLI,2001,Zaid,Moong(Green Gram),100,764,Sunny
GADCHIROLI,2001,Zaid,Urad,100,308,Overcast 
GADCHIROLI,2001,Rabi,Linseed,100,729,Rainy
GADCHIROLI,2001,Zaid,Sunflower,100,396,Overcast 
GADCHIROLI,2002,Kharif,Urad,100,544,Sunny
GADCHIROLI,2003,Rabi,Cotton(lint),100,74,Overcast 
GADCHIROLI,2003,Zaid,Groundnut,100,46,Sunny
GADCHIROLI,2004,Rabi,Cotton(lint),100,228,Rainy
GADCHIROLI,2005,Kharif,Cotton(lint),100,167,Sunny
GADCHIROLI,2006,Kharif,Moong(Green Gram),100,610,Sunny
GADCHIROLI,2008,Rabi,Moong(Green Gram),100,10,Rainy
GADCHIROLI,2009,Zaid,Moong(Green Gram),100,369,Sunny
GADCHIROLI,2009,Kharif,Urad,100,363,Overcast 
GADCHIROLI,2010,Kharif,Urad,100,171,Rainy
GONDIA,1999,Zaid,Soyabean,100,46,Sunny
GONDIA,1999,Zaid,Groundnut,100,275,Sunny
GONDIA,2000,Zaid,Sesamum,100,57,Sunny
GONDIA,2001,Kharif,Castor seed,100,181,Rainy
GONDIA,2001,Zaid,Groundnut,100,57,Sunny
GONDIA,2002,Rabi,Jowar,100,41,Rainy
GONDIA,2002,Zaid,Moong(Green Gram),100,-28,Overcast 
GONDIA,2002,Zaid,Small millets,100,101,Overcast 
GONDIA,2002,Zaid,Soyabean,100,782,Overcast 
GONDIA,2002,Rabi,Maize,100,614,Rainy
GONDIA,2003,Zaid,Moong(Green Gram),100,564,Rainy
GONDIA,2003,Zaid,Soyabean,100,-6,Overcast 
GONDIA,2004,Kharif,Moong(Green Gram),100,142,Rainy
GONDIA,2004,Zaid,Soyabean,100,519,Sunny
GONDIA,2006,Zaid,Castor seed,100,170,Rainy
GONDIA,2006,Zaid,Moong(Green Gram),100,505,Rainy
GONDIA,2008,Kharif,Moong(Green Gram),100,125,Overcast 
GONDIA,2008,Rabi,Urad,100,791,Sunny
GONDIA,2008,Kharif,Rapeseed &Mustard,100,552,Overcast 
GONDIA,2009,Zaid,Urad,100,-46,Overcast 
GONDIA,2010,Rabi,Urad,100,-23,Rainy
GONDIA,2012,Rabi,Maize,100,46,Overcast 
GONDIA,2012,Zaid,Moong(Green Gram),100,667,Overcast 
GONDIA,2012,Kharif,Urad,100,27,Overcast 
GONDIA,2012,Kharif,Maize,100,572,Sunny
GONDIA,2013,Zaid,Moong(Green Gram),100,133,Overcast 
HINGOLI,1999,Rabi,Groundnut,100,320,Sunny
HINGOLI,2000,Zaid,Other Kharif pulses,100,522,Rainy
HINGOLI,2000,Rabi,Maize,100,744,Rainy
HINGOLI,2001,Rabi,Niger seed,100,472,Overcast 
HINGOLI,2001,Kharif,Maize,100,410,Overcast 
HINGOLI,2001,Rabi,Sunflower,100,558,Overcast 
HINGOLI,2002,Kharif,Small millets,100,177,Rainy
HINGOLI,2002,Zaid,Maize,100,79,Sunny
HINGOLI,2002,Kharif,Maize,100,615,Rainy
HINGOLI,2002,Kharif,Sunflower,100,50,Sunny
HINGOLI,2003,Zaid,Small millets,100,271,Overcast 
HINGOLI,2003,Rabi,Sunflower,100,649,Sunny
HINGOLI,2004,Rabi,Maize,100,135,Overcast 
HINGOLI,2004,Zaid,Sunflower,100,588,Rainy
HINGOLI,2011,Zaid,Castor seed,100,339,Overcast 
HINGOLI,2011,Rabi,Sunflower,100,640,Rainy
JALGAON,1998,Kharif,Other  Rabi pulses,100,302,Rainy
JALGAON,2001,Zaid,Sunflower,100,311,Sunny
JALGAON,2002,Kharif,Small millets,100,201,Overcast 
JALGAON,2002,Rabi,Sunflower,100,485,Rainy
JALGAON,2006,Zaid,Rice,100,289,Sunny
JALGAON,2010,Zaid,Rapeseed &Mustard,100,293,Rainy
JALGAON,2011,Kharif,Sunflower,100,304,Sunny
JALNA,2001,Zaid,Maize,100,198,Overcast 
JALNA,2001,Zaid,Sunflower,100,590,Rainy
JALNA,2002,Kharif,Groundnut,100,125,Sunny
JALNA,2003,Rabi,Groundnut,100,323,Sunny
JALNA,2004,Kharif,Sunflower,100,252,Overcast 
JALNA,2005,Zaid,Sunflower,100,636,Sunny
JALNA,2006,Rabi,Sunflower,100,654,Sunny
JALNA,2011,Kharif,Groundnut,100,181,Rainy
JALNA,2013,Zaid,Sunflower,100,481,Overcast 
KOLHAPUR,1997,Zaid,Bajra,100,292,Overcast 
KOLHAPUR,1998,Zaid,Bajra,100,424,Sunny
KOLHAPUR,1998,Rabi,Cotton(lint),100,-16,Rainy
KOLHAPUR,1998,Rabi,Sunflower,100,-39,Rainy
KOLHAPUR,1998,Kharif,Sunflower,100,219,Rainy
KOLHAPUR,1999,Zaid,Bajra,100,737,Sunny
KOLHAPUR,1999,Zaid,Cotton(lint),100,390,Sunny
KOLHAPUR,1999,Rabi,Sunflower,100,679,Sunny
KOLHAPUR,1999,Zaid,Sunflower,100,-44,Overcast 
KOLHAPUR,2000,Zaid,Cotton(lint),100,286,Rainy
KOLHAPUR,2000,Rabi,Sunflower,100,-33,Overcast 
KOLHAPUR,2001,Rabi,Cotton(lint),100,5,Overcast 
KOLHAPUR,2001,Rabi,Sunflower,100,624,Sunny
KOLHAPUR,2001,Zaid,Maize,100,223,Sunny
KOLHAPUR,2002,Zaid,Cotton(lint),100,576,Sunny
KOLHAPUR,2003,Rabi,Cotton(lint),100,34,Sunny
KOLHAPUR,2004,Kharif,Sunflower,100,37,Rainy
KOLHAPUR,2004,Kharif,Cotton(lint),100,481,Rainy
KOLHAPUR,2005,Rabi,Cotton(lint),100,42,Sunny
KOLHAPUR,2005,Kharif,Sesamum,100,655,Rainy
KOLHAPUR,2005,Kharif,Sunflower,100,31,Rainy
KOLHAPUR,2006,Rabi,Sesamum,100,696,Sunny
KOLHAPUR,2008,Rabi,Sunflower,100,320,Sunny
KOLHAPUR,2009,Zaid,Cotton(lint),100,518,Overcast 
LATUR,1997,Kharif,Maize,100,798,Rainy
LATUR,2001,Rabi,Small millets,100,475,Overcast 
LATUR,2002,Zaid,Sunflower,100,93,Rainy
NAGPUR,1997,Kharif,Bajra,100,542,Sunny
NAGPUR,1998,Rabi,Bajra,100,287,Rainy
NAGPUR,1999,Zaid,Bajra,100,603,Sunny
NAGPUR,1999,Zaid,Sunflower,100,671,Overcast 
NAGPUR,2000,Rabi,Castor seed,100,-39,Rainy
NAGPUR,2000,Zaid,Sunflower,100,261,Sunny
NAGPUR,2001,Zaid,Sunflower,100,-38,Rainy
NAGPUR,2004,Zaid,Sunflower,100,174,Sunny
NAGPUR,2005,Kharif,Sesamum,100,581,Sunny
NAGPUR,2006,Rabi,Sesamum,100,715,Overcast 
NAGPUR,2008,Rabi,Sesamum,100,725,Sunny
NAGPUR,2010,Rabi,Castor seed,100,277,Sunny
NAGPUR,2012,Kharif,Maize,100,-36,Overcast 
NAGPUR,2014,Kharif,Linseed,100,735,Sunny
NANDED,1997,Rabi,Maize,100,-1,Rainy
NANDED,1998,Kharif,Other Cereals & Millets,100,679,Rainy
NANDED,1998,Kharif,Maize,100,478,Sunny
NANDED,1999,Rabi,Maize,100,620,Sunny
NANDED,2000,Kharif,Maize,100,93,Sunny
NANDED,2000,Zaid,Small millets,100,481,Rainy
NANDED,2001,Kharif,Small millets,100,731,Rainy
NANDED,2002,Rabi,Maize,100,515,Overcast 
NANDED,2003,Rabi,Small millets,100,351,Rainy
NANDED,2004,Zaid,Other Cereals & Millets,100,470,Sunny
NANDED,2004,Rabi,Maize,100,724,Rainy
NANDED,2005,Kharif,Bajra,100,433,Rainy
NANDED,2006,Rabi,Maize,100,220,Overcast 
NANDED,2008,Rabi,Linseed,100,477,Rainy
NANDED,2008,Kharif,Sesamum,100,783,Sunny
NANDED,2011,Kharif,Groundnut,100,743,Overcast 
NANDED,2012,Zaid,Groundnut,100,242,Sunny
NANDED,2013,Zaid,Maize,100,523,Sunny
NANDURBAR,1999,Kharif,Other  Rabi pulses,100,716,Overcast 
NANDURBAR,2000,Zaid,Safflower,100,339,Sunny
NANDURBAR,2001,Zaid,Rapeseed &Mustard,100,46,Overcast 
NANDURBAR,2001,Kharif,Sunflower,100,370,Sunny
NANDURBAR,2002,Zaid,Rapeseed &Mustard,100,661,Rainy
NANDURBAR,2002,Kharif,Sunflower,100,328,Rainy
NANDURBAR,2002,Zaid,Maize,100,256,Rainy
NANDURBAR,2003,Kharif,Niger seed,100,235,Overcast 
NANDURBAR,2003,Kharif,Sunflower,100,438,Rainy
NANDURBAR,2004,Kharif,Niger seed,100,363,Overcast 
NANDURBAR,2004,Zaid,Maize,100,128,Overcast 
NANDURBAR,2004,Zaid,Sunflower,100,176,Rainy
NANDURBAR,2005,Zaid,Niger seed,100,-18,Rainy
NANDURBAR,2005,Rabi,Sunflower,100,414,Sunny
NANDURBAR,2006,Rabi,Ragi,100,178,Overcast 
NANDURBAR,2006,Zaid,Rapeseed &Mustard,100,375,Rainy
NANDURBAR,2006,Rabi,Sunflower,100,252,Rainy
NANDURBAR,2008,Rabi,Niger seed,100,732,Sunny
NANDURBAR,2013,Zaid,Sunflower,100,317,Rainy
NANDURBAR,2014,Kharif,Sunflower,100,-14,Overcast 
NASHIK,1997,Kharif,Maize,100,794,Overcast 
NASHIK,1998,Rabi,Sesamum,100,-44,Rainy
NASHIK,1998,Zaid,Sunflower,100,662,Overcast 
NASHIK,1999,Kharif,Sunflower,100,440,Sunny
NASHIK,2000,Zaid,Sesamum,100,-10,Sunny
NASHIK,2000,Rabi,Sunflower,100,628,Overcast 
NASHIK,2000,Zaid,Sunflower,100,727,Rainy
NASHIK,2002,Zaid,Maize,100,719,Sunny
NASHIK,2003,Rabi,Sunflower,100,220,Rainy
NASHIK,2004,Kharif,Safflower,100,384,Overcast 
NASHIK,2004,Rabi,Sunflower,100,22,Sunny
NASHIK,2008,Zaid,Sesamum,100,243,Overcast 
NASHIK,2008,Zaid,Sunflower,100,571,Overcast 
NASHIK,2009,Rabi,Rapeseed &Mustard,100,470,Overcast 
NASHIK,2009,Kharif,Sunflower,100,763,Overcast 
NASHIK,2011,Zaid,Sesamum,100,349,Overcast 
NASHIK,2012,Kharif,Sesamum,100,371,Sunny
NASHIK,2012,Rabi,Maize,100,67,Sunny
NASHIK,2013,Zaid,Sunflower,100,81,Overcast 
NASHIK,2014,Rabi,Safflower,100,602,Rainy
OSMANABAD,1997,Rabi,Maize,100,556,Rainy
OSMANABAD,1998,Kharif,Maize,100,675,Rainy
OSMANABAD,2002,Rabi,Maize,100,145,Overcast 
OSMANABAD,2002,Zaid,Sunflower,100,598,Rainy
OSMANABAD,2003,Kharif,Groundnut,100,715,Sunny
PALGHAR,2011,Rabi,Groundnut,100,465,Sunny
PALGHAR,2014,Kharif,Other Kharif pulses,100,444,Sunny
PARBHANI,1999,Rabi,Groundnut,100,379,Sunny
PARBHANI,1999,Zaid,Maize,100,9,Rainy
PARBHANI,2000,Rabi,Groundnut,100,769,Sunny
PARBHANI,2006,Kharif,Groundnut,100,611,Overcast 
PARBHANI,2010,Kharif,Groundnut,100,12,Overcast 
